index,feature_id,name_jp,description,type
63,Column_63,薬剤 4234400,YJコード: 4234400 の投与量,numerical
64,Column_64,薬剤 4234402,YJコード: 4234402 の投与量,numerical
65,Column_65,薬剤 4235400,YJコード: 4235400 の投与量,numerical
66,Column_66,薬剤 4235401,YJコード: 4235401 の投与量,numerical
67,Column_67,薬剤 4235402,YJコード: 4235402 の投与量,numerical
68,Column_68,薬剤 4235403,YJコード: 4235403 の投与量,numerical
69,Column_69,薬剤 4235404,YJコード: 4235404 の投与量,numerical
70,Column_70,薬剤 4235405,YJコード: 4235405 の投与量,numerical
71,Column_71,薬剤 4235406,YJコード: 4235406 の投与量,numerical
72,Column_72,薬剤 4239400,YJコード: 4239400 の投与量,numerical
73,Column_73,薬剤 4239401,YJコード: 4239401 の投与量,numerical
74,Column_74,薬剤 4240001,YJコード: 4240001 の投与量,numerical
75,Column_75,薬剤 4240400,YJコード: 4240400 の投与量,numerical
76,Column_76,薬剤 4240401,YJコード: 4240401 の投与量,numerical
77,Column_77,薬剤 4240402,YJコード: 4240402 の投与量,numerical
78,Column_78,薬剤 4240403,YJコード: 4240403 の投与量,numerical
79,Column_79,薬剤 4240404,YJコード: 4240404 の投与量,numerical
80,Column_80,薬剤 4240405,YJコード: 4240405 の投与量,numerical
81,Column_81,薬剤 4240406,YJコード: 4240406 の投与量,numerical
82,Column_82,薬剤 4240407,YJコード: 4240407 の投与量,numerical
83,Column_83,薬剤 4240408,YJコード: 4240408 の投与量,numerical
84,Column_84,薬剤 4240409,YJコード: 4240409 の投与量,numerical
85,Column_85,薬剤 4240410,YJコード: 4240410 の投与量,numerical
86,Column_86,薬剤 4291002,YJコード: 4291002 の投与量,numerical
87,Column_87,薬剤 4291003,YJコード: 4291003 の投与量,numerical
88,Column_88,薬剤 4291005,YJコード: 4291005 の投与量,numerical
89,Column_89,薬剤 4291006,YJコード: 4291006 の投与量,numerical
90,Column_90,薬剤 4291007,YJコード: 4291007 の投与量,numerical
91,Column_91,薬剤 4291009,YJコード: 4291009 の投与量,numerical
92,Column_92,薬剤 4291010,YJコード: 4291010 の投与量,numerical
93,Column_93,薬剤 4291011,YJコード: 4291011 の投与量,numerical
94,Column_94,薬剤 4291012,YJコード: 4291012 の投与量,numerical
95,Column_95,薬剤 4291013,YJコード: 4291013 の投与量,numerical
96,Column_96,薬剤 4291015,YJコード: 4291015 の投与量,numerical
97,Column_97,薬剤 4291016,YJコード: 4291016 の投与量,numerical
98,Column_98,薬剤 4291017,YJコード: 4291017 の投与量,numerical
99,Column_99,薬剤 4291018,YJコード: 4291018 の投与量,numerical
100,Column_100,薬剤 4291019,YJコード: 4291019 の投与量,numerical
101,Column_101,薬剤 4291020,YJコード: 4291020 の投与量,numerical
102,Column_102,薬剤 4291021,YJコード: 4291021 の投与量,numerical
103,Column_103,薬剤 4291023,YJコード: 4291023 の投与量,numerical
104,Column_104,薬剤 4291024,YJコード: 4291024 の投与量,numerical
105,Column_105,薬剤 4291026,YJコード: 4291026 の投与量,numerical
106,Column_106,薬剤 4291027,YJコード: 4291027 の投与量,numerical
107,Column_107,薬剤 4291028,YJコード: 4291028 の投与量,numerical
108,Column_108,薬剤 4291029,YJコード: 4291029 の投与量,numerical
